V1	V2	organism
Q9QUM9	Q9R1P0	Mouse
Q9QUM9	Q9R1P1	Mouse
Q9QUM9	Q9R1P3	Mouse
Q9QUM9	Q9R1P4	Mouse
Q9QUM9	Q9Z2U0	Mouse
Q9QUM9	Q9Z2U1	Mouse
Q9R1P0	Q9R1P1	Mouse
Q9R1P0	Q9R1P3	Mouse
Q9R1P0	Q9R1P4	Mouse
Q9R1P0	Q9Z2U0	Mouse
Q9R1P0	Q9Z2U1	Mouse
Q9R1P1	Q9R1P3	Mouse
Q9R1P1	Q9R1P4	Mouse
Q9R1P1	Q9Z2U0	Mouse
Q9R1P1	Q9Z2U1	Mouse
Q9R1P3	Q9R1P4	Mouse
Q9R1P3	Q9Z2U0	Mouse
Q9R1P3	Q9Z2U1	Mouse
Q9R1P4	Q9Z2U0	Mouse
Q9R1P4	Q9Z2U1	Mouse
Q9Z2U0	Q9Z2U1	Mouse
O09061	O35955	Mouse
O09061	O70435	Mouse
O09061	P28063	Mouse
O09061	P28076	Mouse
O09061	P49722	Mouse
O09061	P99026	Mouse
O09061	Q9QUM9	Mouse
O09061	Q9R1P0	Mouse
O09061	Q9R1P1	Mouse
O09061	Q9R1P3	Mouse
O09061	Q9R1P4	Mouse
O09061	Q9Z2U0	Mouse
O09061	Q9Z2U1	Mouse
O35955	O70435	Mouse
O35955	P28063	Mouse
O35955	P28076	Mouse
O35955	P49722	Mouse
O35955	P99026	Mouse
O35955	Q9QUM9	Mouse
O35955	Q9R1P0	Mouse
O35955	Q9R1P1	Mouse
O35955	Q9R1P3	Mouse
O35955	Q9R1P4	Mouse
O35955	Q9Z2U0	Mouse
O35955	Q9Z2U1	Mouse
O70435	P28063	Mouse
O70435	P28076	Mouse
O70435	P49722	Mouse
O70435	P99026	Mouse
O70435	Q9QUM9	Mouse
O70435	Q9R1P0	Mouse
O70435	Q9R1P1	Mouse
O70435	Q9R1P3	Mouse
O70435	Q9R1P4	Mouse
O70435	Q9Z2U0	Mouse
O70435	Q9Z2U1	Mouse
P28063	P28076	Mouse
P28063	P49722	Mouse
P28063	P99026	Mouse
P28063	Q9QUM9	Mouse
P28063	Q9R1P0	Mouse
P28063	Q9R1P1	Mouse
P28063	Q9R1P3	Mouse
P28063	Q9R1P4	Mouse
P28063	Q9Z2U0	Mouse
P28063	Q9Z2U1	Mouse
P28076	P49722	Mouse
P28076	P99026	Mouse
P28076	Q9QUM9	Mouse
P28076	Q9R1P0	Mouse
P28076	Q9R1P1	Mouse
P28076	Q9R1P3	Mouse
P28076	Q9R1P4	Mouse
P28076	Q9Z2U0	Mouse
P28076	Q9Z2U1	Mouse
P49722	P99026	Mouse
P49722	Q9QUM9	Mouse
P49722	Q9R1P0	Mouse
P49722	Q9R1P1	Mouse
P49722	Q9R1P3	Mouse
P49722	Q9R1P4	Mouse
P49722	Q9Z2U0	Mouse
P49722	Q9Z2U1	Mouse
P99026	Q9QUM9	Mouse
P99026	Q9R1P0	Mouse
P99026	Q9R1P1	Mouse
P99026	Q9R1P3	Mouse
P99026	Q9R1P4	Mouse
P99026	Q9Z2U0	Mouse
P99026	Q9Z2U1	Mouse
Q9QUM9	Q9R1P0	Mouse
Q9QUM9	Q9R1P1	Mouse
Q9QUM9	Q9R1P3	Mouse
Q9QUM9	Q9R1P4	Mouse
Q9QUM9	Q9Z2U0	Mouse
Q9QUM9	Q9Z2U1	Mouse
Q9R1P0	Q9R1P1	Mouse
Q9R1P0	Q9R1P3	Mouse
Q9R1P0	Q9R1P4	Mouse
Q9R1P0	Q9Z2U0	Mouse
Q9R1P0	Q9Z2U1	Mouse
Q9R1P1	Q9R1P3	Mouse
Q9R1P1	Q9R1P4	Mouse
Q9R1P1	Q9Z2U0	Mouse
Q9R1P1	Q9Z2U1	Mouse
Q9R1P3	Q9R1P4	Mouse
Q9R1P3	Q9Z2U0	Mouse
Q9R1P3	Q9Z2U1	Mouse
Q9R1P4	Q9Z2U0	Mouse
Q9R1P4	Q9Z2U1	Mouse
Q9Z2U0	Q9Z2U1	Mouse
O35864	O88543	Mouse
O35864	O88544	Mouse
O35864	O88545	Mouse
O35864	P61202	Mouse
O35864	Q8VBV7	Mouse
O35864	Q99LD4	Mouse
O35864	Q9CZ04	Mouse
O88543	O88544	Mouse
O88543	O88545	Mouse
O88543	P61202	Mouse
O88543	Q8VBV7	Mouse
O88543	Q99LD4	Mouse
O88543	Q9CZ04	Mouse
O88544	O88545	Mouse
O88544	P61202	Mouse
O88544	Q8VBV7	Mouse
O88544	Q99LD4	Mouse
O88544	Q9CZ04	Mouse
O88545	P61202	Mouse
O88545	Q8VBV7	Mouse
O88545	Q99LD4	Mouse
O88545	Q9CZ04	Mouse
P61202	Q8VBV7	Mouse
P61202	Q99LD4	Mouse
P61202	Q9CZ04	Mouse
Q8VBV7	Q99LD4	Mouse
Q8VBV7	Q9CZ04	Mouse
Q99LD4	Q9CZ04	Mouse
O94776	O95983	Human
O94776	P41182	Human
O94776	Q13547	Human
O94776	Q9BTC8	Human
O95983	P41182	Human
O95983	Q13547	Human
O95983	Q9BTC8	Human
P41182	Q13547	Human
P41182	Q9BTC8	Human
Q13547	Q9BTC8	Human
O35430	Q62915	Rat
O35430	Q9Z250	Rat
Q62915	Q9Z250	Rat
P49768	Q92542	Human
P49768	Q96BI3	Human
P49768	Q9NZ42	Human
Q92542	Q96BI3	Human
Q92542	Q9NZ42	Human
Q96BI3	Q9NZ42	Human
B2RUJ5	O70589	Mouse
P49768	Q92542	Human
P49768	Q96BI3	Human
P49768	Q9NZ42	Human
Q92542	Q96BI3	Human
Q92542	Q9NZ42	Human
Q96BI3	Q9NZ42	Human
P17427	P62743	Mammalia
P17427	P63010	Mammalia
P17427	P84092	Mammalia
P62743	P63010	Mammalia
P62743	P84092	Mammalia
P63010	P84092	Mammalia
P20664	P33609	Mouse
P20664	P33610	Mouse
P20664	P33611	Mouse
P33609	P33610	Mouse
P33609	P33611	Mouse
P33610	P33611	Mouse
O46470	P21279	Mammalia
O46470	P62881	Mammalia
P21279	P62881	Mammalia
O60264	O95239	Human
O60264	O95347	Human
O60264	Q13547	Human
O60264	Q96ST3	Human
O60264	Q9NTJ3	Human
O60264	Q9UBC3	Human
O95239	O95347	Human
O95239	Q13547	Human
O95239	Q96ST3	Human
O95239	Q9NTJ3	Human
O95239	Q9UBC3	Human
O95347	Q13547	Human
O95347	Q96ST3	Human
O95347	Q9NTJ3	Human
O95347	Q9UBC3	Human
Q13547	Q96ST3	Human
Q13547	Q9NTJ3	Human
Q13547	Q9UBC3	Human
Q96ST3	Q9NTJ3	Human
Q96ST3	Q9UBC3	Human
Q9NTJ3	Q9UBC3	Human
P20339	Q15276	Human
P20339	Q9UJ41	Human
Q15276	Q9UJ41	Human
P11983	P42932	Mouse
P11983	P80313	Mouse
P11983	P80314	Mouse
P11983	P80315	Mouse
P11983	P80316	Mouse
P11983	P80317	Mouse
P11983	P80318	Mouse
P42932	P80313	Mouse
P42932	P80314	Mouse
P42932	P80315	Mouse
P42932	P80316	Mouse
P42932	P80317	Mouse
P42932	P80318	Mouse
P80313	P80314	Mouse
P80313	P80315	Mouse
P80313	P80316	Mouse
P80313	P80317	Mouse
P80313	P80318	Mouse
P80314	P80315	Mouse
P80314	P80316	Mouse
P80314	P80317	Mouse
P80314	P80318	Mouse
P80315	P80316	Mouse
P80315	P80317	Mouse
P80315	P80318	Mouse
P80316	P80317	Mouse
P80316	P80318	Mouse
P80317	P80318	Mouse
P11983	P42932	Mouse
P11983	P80313	Mouse
P11983	P80314	Mouse
P11983	P80315	Mouse
P11983	P80316	Mouse
P11983	P80317	Mouse
P11983	P80318	Mouse
P42932	P80313	Mouse
P42932	P80314	Mouse
P42932	P80315	Mouse
P42932	P80316	Mouse
P42932	P80317	Mouse
P42932	P80318	Mouse
P80313	P80314	Mouse
P80313	P80315	Mouse
P80313	P80316	Mouse
P80313	P80317	Mouse
P80313	P80318	Mouse
P80314	P80315	Mouse
P80314	P80316	Mouse
P80314	P80317	Mouse
P80314	P80318	Mouse
P80315	P80316	Mouse
P80315	P80317	Mouse
P80315	P80318	Mouse
P80316	P80317	Mouse
P80316	P80318	Mouse
P80317	P80318	Mouse
P49803	P62882	Rat
O00422	O75446	Human
O00422	Q09028	Human
O00422	Q13547	Human
O00422	Q16576	Human
O00422	Q92769	Human
O00422	Q96ST3	Human
O75446	Q09028	Human
O75446	Q13547	Human
O75446	Q16576	Human
O75446	Q92769	Human
O75446	Q96ST3	Human
Q09028	Q13547	Human
Q09028	Q16576	Human
Q09028	Q92769	Human
Q09028	Q96ST3	Human
Q13547	Q16576	Human
Q13547	Q92769	Human
Q13547	Q96ST3	Human
Q16576	Q92769	Human
Q16576	Q96ST3	Human
Q92769	Q96ST3	Human
P27361	P56524	Human
P62870	P83941	Rat
P62870	Q63187	Rat
P83941	Q63187	Rat
P28482	P56524	Human
O15379	O60907	Human
O15379	Q13227	Human
O15379	Q9BZK7	Human
O15379	Q9Y618	Human
O60907	Q13227	Human
O60907	Q9BZK7	Human
O60907	Q9Y618	Human
Q13227	Q9BZK7	Human
Q13227	Q9Y618	Human
Q9BZK7	Q9Y618	Human
O00203	O14617	Human
O00203	P53677	Human
O00203	P59780	Human
O00203	Q13367	Human
O00203	Q92572	Human
O00203	Q9Y2T2	Human
O14617	P53677	Human
O14617	P59780	Human
O14617	Q13367	Human
O14617	Q92572	Human
O14617	Q9Y2T2	Human
P53677	P59780	Human
P53677	Q13367	Human
P53677	Q92572	Human
P53677	Q9Y2T2	Human
P59780	Q13367	Human
P59780	Q92572	Human
P59780	Q9Y2T2	Human
Q13367	Q92572	Human
Q13367	Q9Y2T2	Human
